Country Name,Country Code,2019
Aruba,ABW,
Afghanistan,AFG,19291104007.83
Angola,AGO,88815697793.30
Albania,ALB,15279183289.94
Andorra,AND,3154057987.24
Arab World,ARB,2817414584665.11
United Arab Emirates,ARE,421142267937.65
Argentina,ARG,445445177459.43
Armenia,ARM,13672802157.83
American Samoa,ASM,
Antigua and Barbuda,ATG,1661962962.96
Australia,AUS,1396567014733.23
Austria,AUT,445075391688.16
Azerbaijan,AZE,48047647058.82
Burundi,BDI,3012334881.64
Belgium,BEL,533097455834.51
Benin,BEN,14390709094.94
Burkina Faso,BFA,15990803570.00
Bangladesh,BGD,302571254131.14
Bulgaria,BGR,68558815111.62
Bahrain,BHR,38574069148.94
"Bahamas, The",BHS,13578800000.00
Bosnia and Herzegovina,BIH,20164193806.88
Belarus,BLR,63080457022.66
Belize,BLZ,1879613600.00
Bermuda,BMU,7484113000.00
Bolivia,BOL,40895322843.79
Brazil,BRA,1839758040765.62
Barbados,BRB,5209000000.00
Brunei Darussalam,BRN,13469422958.51
Bhutan,BTN,2530547157.57
Botswana,BWA,18340480936.04
Central African Republic,CAF,2220307368.70
Canada,CAN,1736425629519.96
Central Europe and the Baltics,CEB,1668851928931.89
Switzerland,CHE,703082435158.86
Channel Islands,CHI,
Chile,CHL,282318159744.65
China,CHN,14342903006431.30
Cote d'Ivoire,CIV,58539424929.72
Cameroon,CMR,39007354359.28
"Congo, Dem. Rep.",COD,50400746171.42
"Congo, Rep.",COG,12267392146.59
Colombia,COL,323615979418.65
Comoros,COM,1165839927.06
Cabo Verde,CPV,1981845740.36
Costa Rica,CRI,61801385049.07
Caribbean small states,CSS,77721714917.85
Cuba,CUB,
Curacao,CUW,3101787709.50
Cayman Islands,CYM,
Cyprus,CYP,24948935408.04
Czech Republic,CZE,250680504529.65
Germany,DEU,3861123558039.21
Djibouti,DJI,3324634256.13
Dominica,DMA,582403703.70
Denmark,DNK,350104327658.68
Dominican Republic,DOM,88941299734.21
Algeria,DZA,171091289782.25
East Asia & Pacific (excluding high income),EAP,17214775860650.60
Early-demographic dividend,EAR,11989867025219.90
East Asia & Pacific,EAS,26987767528542.90
Europe & Central Asia (excluding high income),ECA,3248461689441.89
Europe & Central Asia,ECS,22792819661712.70
Ecuador,ECU,107435665000.00
"Egypt, Arab Rep.",EGY,303092255125.29
Euro area,EMU,13356063677260.50
Eritrea,ERI,
Spain,ESP,1393490524517.64
Estonia,EST,31471100656.24
Ethiopia,ETH,95912590628.14
European Union,EUU,15626448476438.30
Fragile and conflict affected situations,FCS,1778456492418.56
Finland,FIN,269296310180.39
Fiji,FJI,5496250694.32
France,FRA,2715518274227.45
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,
Gabon,GAB,16874450215.14
United Kingdom,GBR,2829108219165.80
Georgia,GEO,17477255545.67
Ghana,GHA,66983634223.94
Gibraltar,GIB,
Guinea,GIN,12296665331.19
"Gambia, The",GMB,1826073739.83
Guinea-Bissau,GNB,1339449165.49
Equatorial Guinea,GNQ,11026774945.34
Greece,GRC,209852761132.84
Grenada,GRD,1210603703.70
Greenland,GRL,
Guatemala,GTM,76710355347.10
Guam,GUM,
Guyana,GUY,5173759527.58
High income,HIC,55140634994666.20
"Hong Kong SAR, China",HKG,365711532816.91
Honduras,HND,25095395475.04
Heavily indebted poor countries (HIPC),HPC,783061756161.73
Croatia,HRV,60752588976.32
Haiti,HTI,14332163266.40
Hungary,HUN,163469042867.96
IBRD only,IBD,31604112806477.30
IDA & IBRD total,IBT,33917225227399.20
IDA total,IDA,2320313648145.49
IDA blend,IDB,991547520067.22
Indonesia,IDN,1119190780752.80
IDA only,IDX,1331970889524.39
Isle of Man,IMN,
India,IND,2868929415617.02
Not classified,INX,
Ireland,IRL,388698711348.16
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,234094042938.92
Iceland,ISL,24188038473.54
Israel,ISR,394652210295.85
Italy,ITA,2003576145498.04
Jamaica,JAM,16458071067.82
Jordan,JOR,44502895861.68
Japan,JPN,5081769542379.77
Kazakhstan,KAZ,181665908556.50
Kenya,KEN,95503088538.09
Kyrgyz Republic,KGZ,8454619607.82
Cambodia,KHM,27089389786.98
Kiribati,KIR,194647201.95
St. Kitts and Nevis,KNA,1053244444.44
"Korea, Rep.",KOR,1646739219509.89
Kuwait,KWT,134628542746.97
Latin America & Caribbean (excluding high income),LAC,5149595087470.17
Lao PDR,LAO,18173839147.40
Lebanon,LBN,51991634491.63
Liberia,LBR,3070518100.00
Libya,LBY,52091152228.34
St. Lucia,LCA,2122450629.63
Latin America & Caribbean,LCN,5733773582151.17
Least developed countries: UN classification,LDC,1115238042585.36
Low income,LIC,541511926907.27
Liechtenstein,LIE,
Sri Lanka,LKA,84008783756.07
Lower middle income,LMC,6334933300545.64
Low & middle income,LMY,32709070487543.00
